,Shop,Location,Rating,Reviews,City,Type,Price
539,Simply Banh Mi,1624 Wisconsin Ave NW,4.6,414,Washington Dc,Bubble Tea,Inexpensive
540,Shopkeepers,1231 Florida Ave NE,4.6,46,Washington Dc,Bubble Tea,
541,Gong Cha,1650 Wilson Blvd Suite 100A,3.9,60,Washington Dc,Bubble Tea,Inexpensive
542,Panda Tea House,1100 S. Hayes Street Suite C06A,2.7,82,Washington Dc,Bubble Tea,
543,Spill The Tea,515 E Braddock Rd,4.4,96,Washington Dc,Bubble Tea,
544,Kogibow Bakery,1817 Adams Mill Rd NW,4.4,65,Washington Dc,Bakery,
545,Shiny Tea,2667 Broadway,4.6,174,New York,Bubble Tea,Inexpensive
546,ViVi Bubble Tea,49 Bayard St,4.2,360,New York,Bubble Tea,Inexpensive
547,Tiger Sugar (CHINATOWN),197 Canal St,4.4,592,New York,Bubble Tea,Inexpensive
548,PATEA BUBBLE TEA,227 E 14th St,4.5,199,New York,Bubble Tea,Inexpensive
549,I’Milky 沐白,992 6th Ave,4.5,336,New York,Bubble Tea,Inexpensive
550,ViVi Bubble Tea,607 9th Ave,4.2,615,New York,Bubble Tea,Inexpensive
551,Mi Tea,101 MacDougal St,4.7,118,New York,Bubble Tea,Inexpensive
552,BIAO Sugar,1271 Broadway,4.1,278,New York,Bubble Tea,Inexpensive
553,Gong Cha,75 W 38th St,4.2,523,New York,Bubble Tea,Inexpensive
554,Ten Ren's Tea Time,73 Mott St,4.1,397,New York,Bubble Tea,Inexpensive
555,The Alley,68 Cooper Sq,4.2,291,New York,Bubble Tea,Moderate
556,CoCo Fresh Tea & Juice,38 Lexington Ave,4.3,156,New York,Bubble Tea,Inexpensive
557,Ho Ho Té,805 8th Ave,4.3,135,New York,Bubble Tea,Inexpensive
558,Kung Fu Tea,28 St Marks Pl,4.4,231,New York,Bubble Tea,Inexpensive
559,Machi Machi,33 W 32nd St,3.9,315,New York,Bubble Tea,Inexpensive
560,FIFTYLAN Union Square,32 Union Square E,4.2,51,New York,Bubble Tea,
561,Chun Yang Tea,26B Elizabeth St,4.4,53,New York,Bubble Tea,Inexpensive
562,ViVi Bubble Tea,170 W 23rd St,4.2,357,New York,Bubble Tea,Inexpensive
563,Modern Tea Shop,300 W 49th St,4.3,89,New York,Bubble Tea,Inexpensive
564,Teado Tea Shop,145D Hester St,4.9,390,New York,Bubble Tea,Inexpensive
565,Truedan Chinatown 珍煮丹,208 Grand St # Store,4.5,68,New York,Bubble Tea,Inexpensive
566,Gong Cha,12 W 32nd St,4.1,377,New York,Bubble Tea,Inexpensive
567,Moge Tee Midtown,302 W 39th St,4.0,126,New York,Bubble Tea,Moderate
568,Gong Cha,2810 Broadway,4.5,189,New York,Bubble Tea,Inexpensive
569,ViVi Bubble Tea,2 E Broadway,3.7,71,New York,Bubble Tea,Inexpensive
570,Kung Fu Tea,31 Waverly Pl Unit 5,4.6,144,New York,Bubble Tea,Inexpensive
571,Yi Fang Taiwan Fruit Tea 一芳,67 Bayard St,3.7,118,New York,Bubble Tea,Inexpensive
572,"Debutea, tea and coffee",217 Thompson St,4.5,307,New York,Bubble Tea,
573,Kung Fu Tea,73 Chrystie St,4.2,331,New York,Bubble Tea,Inexpensive
574,QBubble,114-02 15th Ave #5,4.9,278,New York,Wholesaler,
575,Yaya Tea CHRYSTIE,51 Chrystie St,4.6,621,New York,Bubble Tea,Inexpensive
576,Green E.Tea,164 Pearl St,5.0,1,New York,Bubble Tea,Inexpensive
577,Koo Cha,1764 1st Ave. Store B,3.7,15,New York,Bubble Tea,
578,ViVi Bubble Tea,18 W 14th St a,4.2,283,New York,Bubble Tea,Inexpensive
579,Moge Tee East Village,69 Cooper Sq,4.2,139,New York,Bubble Tea,Moderate
580,Xing Fu Tang,40-52 Main St,4.3,395,New York,Bubble Tea,Moderate
581,Hawa Smoothies & Bubble Tea,181A E Broadway Closed,4.7,168,New York,Bubble Tea,Inexpensive
582,Yaya Tea GRAND,206 Grand St,4.4,526,New York,Bubble Tea,Inexpensive
583,SugarCube New York,4007 82nd St,5.0,11,New York,Bubble Tea,Inexpensive
584,The Koi / 50 Lan,189 Bleecker,4.8,11,New York,Bubble Tea,
585,Tidal Tea,1520 Amsterdam Ave,4.7,122,New York,Bubble Tea,Inexpensive
586,Miss Du's Tea Shop,33 Pell St,4.8,76,New York,Tea house,
587,honestea,173 Hester St,4.3,143,New York,Tea house,Inexpensive
588,Kung Fu Tea,9 Broadway,4.1,93,New York,Bubble Tea,Inexpensive
589,Kung Fu Tea,86-12 Justice Ave,4.2,212,New York,Bubble Tea,Inexpensive
590,iF Chá,162 E 25th St,4.0,5,New York,Cafe,
591,M Tea Flushing,36-56 Main St,4.1,276,New York,Bubble Tea,Inexpensive
592,Lazy Sundaes Canal St. Market,261 Canal St,4.6,31,New York,Bubble Tea,
593,BOBA KAFE,345 W 35th ST,0.0,0,New York,,
594,Hawa Smoothies and Bubble Tea,1293 1st Ave.,4.7,50,New York,Bubble Tea,
595,Yi Fang Taiwan Fruit Tea,44-68 21st St,4.0,117,New York,Bubble Tea,Moderate
596,iCha Boba,12-07 Jackson Ave,5.0,22,New York,Bubble Tea,Inexpensive
597,Grace Street Coffee & Desserts,17 W 32nd St,4.6,2268,New York,Bubble Tea,Moderate
598,Chun Yang Tea- New Dorp,324 New Dorp Ln,4.7,71,New York,Bubble Tea,
599,Solely Tea,111 Eldridge St,5.0,43,New York,Bubble Tea,
600,Bibble & Sip,253 W 51st St,4.6,2463,New York,Cafe,Moderate
601,The Teahouse Tapioca & Tea,4926 Beechnut St,4.4,435,Houston,Bubble Tea,Inexpensive
602,The Teahouse,2089 Westheimer Rd,4.8,2098,Houston,Bubble Tea,Inexpensive
603,Boba City,8330 Long Point Rd Suite E,4.4,291,Houston,Bubble Tea,Inexpensive
604,Kung Fu Tea,9889 Bellaire Blvd #222,4.0,422,Houston,Bubble Tea,Inexpensive
605,BoBa Island,12138 Bellaire Blvd #2315,4.3,325,Houston,Tea house,Inexpensive
606,Teaspoon of Boba,11818 Airline Dr ste i,4.7,235,Houston,Bubble Tea,Inexpensive
607,The Bếp Teahouse,8300 W Sam Houston Pkwy S Ste 172,4.4,308,Houston,Bubble Tea,Inexpensive
608,The Boba Spot,13411 TX-249 #6,4.0,74,Houston,Bubble Tea,
609,Sharetea,9889 Bellaire Blvd Ste E213,4.5,508,Houston,Bubble Tea,Inexpensive
610,I Heart Boba,10092 Veterans Memorial Dr #2404,4.5,428,Houston,Bubble Tea,Inexpensive
611,Boba Chick,3506 Scott St,4.3,67,Houston,Bubble Tea,Inexpensive
612,Tea Top,9889 Bellaire Blvd E203,4.6,179,Houston,Bubble Tea,Inexpensive
613,Yumcha,9889 Bellaire Blvd STE E217,4.6,243,Houston,Bubble Tea,Inexpensive
614,Bobo Tea,1003 Dairy Ashford Rd Ste B,4.6,127,Houston,Bubble Tea,Inexpensive
615,The Teahouse,2518 Rice Boulevard B,4.3,478,Houston,Bubble Tea,Inexpensive
616,SmooTea,4007 Bellaire Blvd suite f,4.7,86,Houston,Bubble Tea,Inexpensive
617,KOI CHA,"9855-C, Blackhawk Blvd",4.6,112,Houston,Bubble Tea,Inexpensive
618,New Tapioca Master,12303 Jones Rd #100,4.7,475,Houston,Cafe,Inexpensive
619,Nu Ice & Drinks,5901 Westheimer Rd B1,4.6,640,Houston,Bubble Tea,Inexpensive
620,I Heart Boba,10245 Kempwood Dr ste b,4.5,114,Houston,Bubble Tea,Inexpensive
621,"JUJU Tapioca Bubble Tea, Smoothies & Ice Cream",5901 Bellaire Blvd #106,4.0,224,Houston,Bubble Tea,Inexpensive
622,Hella Bubble,2400 Mid Ln #110,4.6,248,Houston,Bubble Tea,Inexpensive
623,Boba Cafe,1113 Holman St,4.0,273,Houston,Fast Food,Inexpensive
624,The Teahouse,5085 Westheimer Rd,4.2,185,Houston,Bubble Tea,Inexpensive
625,Teaholic,10613 Bellaire Blvd #A150,4.3,201,Houston,Bubble Tea,Inexpensive
626,Tapioca House,9104 Bellaire Blvd suite b,4.4,242,Houston,Bubble Tea,Inexpensive
627,Purple Kow,2531 University Blvd,4.4,135,Houston,Bubble Tea,Inexpensive
628,Jade's Teahouse,5475 W Loop S,4.5,202,Houston,Bubble Tea,Inexpensive
629,Kung Fu Tea,3224 Yoakum Blvd,4.2,618,Houston,Bubble Tea,Inexpensive
630,Tiger Sugar,9393 Bellaire Blvd #D,4.3,289,Houston,Bubble Tea,Inexpensive
631,I Heart Boba,4935 Hwy 6 N,4.5,251,Houston,Bubble Tea,Inexpensive
632,Oh My Tea!,9820 Gulf Fwy Ste A9,4.7,356,Houston,Bubble Tea,Inexpensive
633,Teapresso Bar,718 W 18th St Suite H,4.6,309,Houston,Cafe,Inexpensive
634,Hang Xanh Sandwiches & Boba Tea Zone,10625 Veterans Memorial Dr,4.3,74,Houston,Bubble Tea,Inexpensive
635,I Heart Boba FM 529,15951 Farm to Market Rd 529 #135,4.5,197,Houston,Bubble Tea,Inexpensive
636,Bubble Tea House,1560 Eldridge Pkwy #162,4.4,287,Houston,Bubble Tea,Inexpensive
637,Heavenly Beverages,21542 Tomball Pkwy,4.7,344,Houston,Bubble Tea,Inexpensive
638,Feng Cha,9889 Bellaire Blvd STE C316,4.6,192,Houston,Bubble Tea,Inexpensive
639,Ice Valley Cafe,8606 Hwy 6 N,4.3,263,Houston,Bubble Tea,Inexpensive
640,Muse Tea,1809 Eldridge Pkwy #109,4.5,186,Houston,Bubble Tea,Inexpensive
641,Jtea,12000 Bellaire Blvd,4.2,186,Houston,Bubble Tea,
642,Fuji Tea,9312 Bellaire Blvd,4.3,72,Houston,Bubble Tea,Inexpensive
643,7 Leaves Cafe,9798 Bellaire Blvd suite b,4.5,306,Houston,Tea house,Inexpensive
644,Ding Tea,9600 Bellaire Blvd Ste 138,4.1,195,Houston,Bubble Tea,Inexpensive
645,VietSubs & Boba Tea,10919 Louetta Rd Suite E540,4.3,74,Houston,Bubble Tea,Inexpensive
646,The Teahouse,5710 Memorial Dr Suite B,4.5,299,Houston,Bubble Tea,Inexpensive
647,The Teahouse,8224 Kirby Dr,4.1,136,Houston,Bubble Tea,Inexpensive
648,Bubble Boba,8070 S Gessner Rd,5.0,7,Houston,Bubble Tea,
649,The Teahouse,9198 Bellaire Blvd,4.5,574,Houston,Bubble Tea,Inexpensive
650,Happy Lemon,9938 Bellaire Blvd Suite E,4.6,51,Houston,Bubble Tea,
651,The Teahouse,1737 W 34th St Suite 600,4.4,54,Houston,Bubble Tea,
652,Long Coffee,10611 Bellaire Blvd,4.4,1180,Houston,Coffee shop,Inexpensive
653,I Heart Boba,11747 W Bellfort Ave,4.3,113,Houston,Bubble Tea,
654,Magic Cup,11724 Bellaire Blvd,4.4,1124,Houston,Bubble Tea,Inexpensive
655,Daboba,11360 Bellaire Blvd Suite 80,4.4,36,Houston,Bubble Tea,
656,Happy Teahouse,8066 Westheimer Rd,4.0,25,Houston,Bubble Tea,
657,Mr Wish,9750 Bellaire Blvd #188,4.4,119,Houston,Bubble Tea,Inexpensive
658,Kung Fu Tea,3201 Louisiana St APT 106,3.8,124,Houston,Tea house,Inexpensive
659,The Teahouse,506 Yale St Suite E,4.3,204,Houston,Bubble Tea,Inexpensive
660,Hella Bubble,2015 Yale St,4.2,38,Houston,Bubble Tea,
661,Happy Teahouse & Cafe (New Location 8066 Westheimer),8066 Westheimer Rd,4.2,544,Houston,Bubble Tea,Inexpensive
662,R Tea-Zone,10541 FM1960 #260b,4.6,73,Houston,Bubble Tea,Inexpensive
663,Fusion 36 Degree Coffee Smoothie Boba Tea,7014 Hwy 6 N Suite G,4.7,92,Houston,Bubble Tea,
664,Kung Fu Tea,3645 FM 1960 #238,4.2,190,Houston,Bubble Tea,Inexpensive
665,Gong Cha,9889 Bellaire Blvd C 318,4.2,580,Houston,Bubble Tea,Inexpensive
666,Fuji Tea,9312 Bellaire Blvd,4.3,72,Houston,Bubble Tea,Inexpensive
667,Twinkle Tea Shop冰岛,9188 G Bellaire Blvd,4.4,82,Houston,Bubble Tea,Inexpensive
668,Teapresso Bar,2929 Navigation Blvd Suite 180,4.7,47,Houston,Bubble Tea,
669,"Ca phe Phin - Vietnamese coffee & tea, bubble tea house",1354 E NASA Pkwy,4.7,211,Houston,Bubble Tea,Inexpensive
670,Zero Degrees,4440 North Fwy,3.6,260,Houston,Bubble Tea,Moderate
671,TeaTalk,12148 Bellaire Blvd Suite 110,4.1,87,Houston,Bubble Tea,
672,Möge Tee,1709 Dryden Rd Unit 2a,4.4,12,Houston,Bubble Tea,Inexpensive
673,Zero Degrees,10603 Bellaire Blvd b101,4.2,749,Houston,Bubble Tea,Moderate
674,Tealicious Drinks,13480 Veterans Memorial Dr P2,4.5,76,Houston,Tea house,
675,Tapioca Xpress,12800 Scarsdale Blvd,4.6,267,Houston,Bubble Tea,Inexpensive
676,Sharetea,3651 Weslayan St #100,5.0,84,Houston,Bubble Tea,Inexpensive
677,Tapioca Blossom,14175 Northwest Fwy,4.7,48,Houston,Bubble Tea,
678,ULIKE TEA,4407c Cypress Creek Pkway,4.7,132,Houston,Tea house,
679,Kim's Teahouse Bear Creek,5571 Hwy 6 N,4.7,303,Houston,Bubble Tea,Inexpensive
680,Seng Seng Cafe,3645 Cypress Creek Pkwy #328,4.7,88,Houston,Bubble Tea,
681,TeaFix,6938 Wilcrest Dr suite e-1,4.8,105,Houston,Tea house,
682,T4 Show Room,7019 Boone Rd,0.0,0,Houston,Bubble Tea,
683,OH MY TEA!,5730 Fairmont Pkwy,4.8,42,Houston,Bubble Tea,
684,Modern Tea,9968 Bellaire Blvd #100a,4.1,116,Houston,Tea house,
685,Kravin Fruit Bar,10623 Bellaire Blvd c143,4.6,278,Houston,American,Inexpensive
686,Zero Degrees,6927 Farm to Market 1960 Rd W Unit H,3.9,525,Houston,Cafe,Moderate
687,Pho Hoa,13280 Northwest Fwy #A,3.9,391,Houston,Bubble Tea,Inexpensive
688,Tapioca King,6811 Baneway Dr,3.0,2,Houston,Tea store,
689,Fiji Tea & Coffee,11205 Bellaire Blvd,3.8,57,Houston,Coffee shop,
690,Partea's House,6833 W Sam Houston Pkwy S # 108,4.9,7,Houston,Coffee shop,Inexpensive
691,"GBT Foods, Inc.",10570 Bissonnet St Suite 100,5.0,5,Houston,Food products supplier,
692,Baoz Dumplings,1001 Fannin St # M180,4.1,61,Houston,Bubble Tea,Inexpensive
693,Njoi,10868 Beechnut St,4.4,99,Houston,Coffee shop,
694,Nu Cafe,9889 Bellaire Blvd STE 112A,4.4,668,Houston,Bubble Tea,Inexpensive
695,Bobo Tea,2575 S Dairy Ashford Rd STE A,5.0,2,Houston,Bubble Tea,
696,Ice Queen,2402 Bay Area Blvd Suite E,4.6,105,Houston,Ice Cream,
697,The Boba Shop (FM 2920),"107 3730, Farm to Market 2920",4.7,643,Houston,Bubble Tea,Inexpensive
698,Ahi Poke - Hawaiian Bowls & Tapioca Tea,5716 Fairmont Pkwy,4.7,430,Houston,Bubble Tea,
699,7 Leaves Cafe,3825 Richmond Ave,4.7,92,Houston,Bubble Tea,Inexpensive
700,Sharetea,3651 Weslayan St Suite 100,4.0,2,Houston,Bubble Tea,Inexpensive
701,Yummie,10211 Cypresswood Dr #1200,4.8,148,Houston,Vietnamese,Inexpensive
702,The Alley,23220 Grand Cir Blvd Suite130,4.3,93,Houston,Bubble Tea,Inexpensive
703,Kravin' Desserts & Tapioca,21788 Katy Fwy #200,4.6,182,Houston,Bubble Tea,Inexpensive
704,Okie Dokie Teahouse,3211 Greenhouse Rd Ste 115,4.8,258,Houston,Bubble Tea,
705,"Q Wings, Seafood, & Boba",6715 Bissonnet St #500,4.6,138,Houston,Restaurant,
706,Baguette & Tea,11828 Bellaire Boulevard,4.7,34,Houston,Restaurant,
707,Teacup Cafe,8300 W Sam Houston Pkwy S,4.3,260,Houston,Asian,Inexpensive
708,B&T Cafe,2007 W Alabama St ste b,4.8,265,Houston,Vietnamese,Inexpensive
709,Bun Bo Hue Duc Chuong 1 - Buba T-2,11415 Bellaire Blvd suite k,4.1,150,Houston,Vietnamese,Inexpensive
710,Boba Tea-Smoothies,,4.3,4,Houston,,
711,I Heart Boba,5834 Louetta Rd Suite A,4.5,591,Houston,Bubble Tea,Inexpensive
712,The Boba Shop (I-45),21117 North Fwy Suite 100,4.6,283,Houston,Bubble Tea,Inexpensive
713,Ding Tea,23227 Mercantile Pkwy Ste A3,4.6,83,Houston,Bubble Tea,
714,Bubble Egg,9188 Bellaire Blvd #B,4.4,479,Houston,Cafe,Moderate
715,Tea Top,23119 Colonial Pkwy C-7,4.7,206,Houston,Bubble Tea,Inexpensive
716,The Teahouse,2470 Pearland Pkwy Suite 120,4.1,60,Houston,Bubble Tea,Inexpensive
717,Kim's Teahouse,1523 Mason Rd,4.6,706,Houston,Bubble Tea,Inexpensive
718,Meet Fresh,9393 Bellaire Blvd Suite I,3.9,236,Houston,Restaurant,Moderate
719,Bubble Egg,1717 W 34th St #900,4.6,209,Houston,Dessert shop,
720,The Teahouse,2810 Business Center Dr Suite 111,4.4,335,Houston,Bubble Tea,Inexpensive
721,Formosa Bubble Teahouse,17505 Telge Rd #105,4.8,187,Houston,Tea house,
722,Gong Cha,23119 Colonial Pkwy Suite B9,4.3,215,Houston,Bubble Tea,Inexpensive
723,Fresh Boba,11619 S Texas 6,4.3,201,Houston,Bubble Tea,Inexpensive
724,R&B Tea Pearland,3422 Business Center Dr #142,4.5,134,Houston,Bubble Tea,Inexpensive
725,Minuti Coffee,909 Texas Ave,4.4,602,Houston,Coffee shop,Inexpensive
726,Puer,6871 N Fry Rd Suite 114,4.8,139,Houston,Bubble Tea,Inexpensive
727,Vogue Bubble Tea & Coffee Bar,7025 Fry Rd Suite 100,4.5,129,Houston,Bubble Tea,
728,My Tastes,13500 W Airport Blvd C,4.2,101,Houston,Tea house,Inexpensive
729,Infuzion Bubble Tea Bar,29300 Hempstead Rd Suite 400,4.0,8,Houston,Bubble Tea,
730,Gotcha Boba,2805 Gulf Fwy S Ste A,4.6,299,Houston,Bubble Tea,Inexpensive
731,Hangout Fruit Juices & Bites,10613 Bellaire Blvd,4.0,98,Houston,Restaurant,Inexpensive
732,MTea & Coffee,3737 Hwy 6,4.6,241,Houston,Bubble Tea,Inexpensive
733,Chillax,1035 Blalock Rd,4.7,40,Houston,Ice Cream,Moderate
734,The Teahouse Tapioca & Tea,12343 Barker Cypress Rd,4.5,344,Houston,Bubble Tea,Inexpensive
735,Ding Tea,4650 Hwy 6,4.4,136,Houston,Bubble Tea,Inexpensive
736,Thien An Sandwiches,2611 San Jacinto St,4.5,862,Houston,Vietnamese,Inexpensive
737,Honey Art Cafe,3516 S Shepherd Dr,4.4,175,Houston,Cafe,Inexpensive
738,Thắng's French Coffee & Bubble Tea,1286 Kalani St Suite B108,4.6,134,Honolulu,Bubble Tea,Inexpensive
739,MOMO TEA,320 Ward Ave Ste 116,4.5,62,Honolulu,Bubble Tea,Inexpensive
740,Boba Bros,1050 Ala Moana,4.0,1,Honolulu,Bubble Tea,
741,Wen's Tea,661 Ke’eaumoku St #105B,4.6,42,Honolulu,Bubble Tea,Inexpensive
742,NIO Snow Ice & Tea,550 Halekauwila St #101,4.8,50,Honolulu,Bubble Tea,Inexpensive
743,Thanh French Coffee & Bubble Tea,1120 Maunakea St,4.5,19,Honolulu,Bubble Tea,
744,Dragon Tea,1339 N School St Ste 104,4.5,126,Honolulu,Bubble Tea,Inexpensive
745,TOP TEA + ESPRESSO LILIHA,1425 Liliha St Ste #10,4.7,44,Honolulu,Bubble Tea,Inexpensive
746,ChaTea Hawaii,1617 Kapiolani Blvd #102,4.5,47,Honolulu,Bubble Tea,Inexpensive
747,Teapresso Bar,510 Piikoi St #100,4.1,139,Honolulu,Bubble Tea,Inexpensive
748,Sun Tea Mix,400 Keawe St #107,4.5,53,Honolulu,Bubble Tea,
749,QQ Tea & Vegetarian House,931 University Ave #109,4.7,94,Honolulu,Bubble Tea,
750,S7-Icy Bubble,555 N King St,4.3,37,Honolulu,Cafe,
751,Taste Tea,1430 Kona St,4.2,286,Honolulu,Cafe,Inexpensive
752,It’s Tea,435 Kamakee St #102,4.8,25,Honolulu,Bubble Tea,
753,Teapresso Bar - Keeaumoku,745 Ke’eaumoku St #102,4.3,117,Honolulu,Bubble Tea,Inexpensive
754,Rabbit Rabbit Tea University,2700 S King St,4.3,27,Honolulu,Bubble Tea,
755,Teapresso Bar,1088 Bishop St #101,4.4,51,Honolulu,Bubble Tea,Inexpensive
756,Lunar Tea,2334 S King St Ste 102,4.8,27,Honolulu,Bubble Tea,Inexpensive
757,TIGER SUGAR,1365 Nuuanu Ave,4.3,104,Honolulu,Bubble Tea,
758,Shaka Shaka Tea Express,1199 Dillingham Blvd #8107,4.5,97,Honolulu,Tea house,Inexpensive
759,Ding Tea,665 Halekauwila St,3.8,12,Honolulu,Bubble Tea,Inexpensive
760,S7 Icy Bubble - Kapahulu,888 Kapahulu Ave,4.2,22,Honolulu,Bubble Tea,Inexpensive
761,Thắng's French Coffee & Bubble Tea (SAND ISLAND),111 Sand Island Access Rd Unit R8,0.0,0,Honolulu,Bubble Tea,
762,FRIEND CAFE EXPRESS,333 Ward Ave #202,5.0,1,Honolulu,Bubble Tea,
763,Hana Tea,1111 Dillingham Blvd unit e-2,4.6,281,Honolulu,Tea house,Inexpensive
764,Heeretea Hawaii,1810 N King St,4.4,67,Honolulu,Coffee shop,
765,Tea Home Honolulu,808 Sheridan St unit 108,4.3,11,Honolulu,Bubble Tea,
766,Wave Tea,1067 Kapiolani Blvd,4.4,23,Honolulu,Tea house,
767,Sharetea,4618 Kilauea Ave,3.8,46,Honolulu,Bubble Tea,Inexpensive
768,Mickey Cafe,1120 Maunakea St,4.9,20,Honolulu,Bubble Tea,Inexpensive
769,Coffee or Tea?,1960 Kapiolani Blvd #106,4.4,127,Honolulu,Tea house,Inexpensive
770,Cowcow’s Tea,3620 Waialae Ave A,4.6,164,Honolulu,Tea house,
771,Taste Tea Inc.,3221 Waialae Ave,4.3,67,Honolulu,Cafe,Inexpensive
772,Cheese Tea,1221 Kapiolani Blvd #112a,4.6,64,Honolulu,Cafe,Inexpensive
773,Shaka Shaka Tea Express,2600 S King St,4.4,83,Honolulu,Tea house,
774,The Alley,1450 Ala Moana Blvd Suite 2805,4.3,119,Honolulu,Tea house,Moderate
775,TOP TEA + ESPRESSO KAPIOLANI,1356 Kapiolani Blvd,4.4,130,Honolulu,Bubble Tea,Inexpensive
776,I love bubble tea,,0.0,0,Honolulu,Bubble Tea,
777,Taste Tea,2424 Kalakaua Ave,3.5,11,Honolulu,Cafe,
778,Hangs French Coffee & Smoothie,1146 Fort Street Mall,4.9,54,Honolulu,Bubble Tea,
779,Fortune Tea,1302 Pali Hwy,4.7,19,Honolulu,Bubble Tea,Inexpensive
780,Mr. Tea Cafe,909 Kapiolani Blvd,4.6,175,Honolulu,Dessert shop,Inexpensive
781,Mr. Tea Cafe,1450 Ala Moana Blvd Suite 1063,4.3,98,Honolulu,Dessert,
782,Coffee or Tea? Waikiki,333 Seaside Ave #150,4.5,157,Honolulu,Coffee shop,
783,Tea Time Taiwan,1210 Dillingham Blvd,4.6,53,Honolulu,Taiwanese,
784,Zagu Bubble Drink,1450 Ala Moana Blvd,2.4,14,Honolulu,Bubble Tea,
785,Teapresso Bar,3220 Waialae Ave,4.5,95,Honolulu,Cafe,Inexpensive
786,Infinitea Cafe,1620 N School St,4.5,41,Honolulu,Cafe,
787,Sharetea,1441 Kapiolani,4.2,10,Honolulu,Bubble Tea,Inexpensive
788,Teapresso Bar,7192 Kalanianaʻole Hwy,2.5,18,Honolulu,Tea house,Inexpensive
789,Milky Way Hawaii Ice (on wheel),710 Pohukaina St,0.0,0,Honolulu,Cafe,
790,Shaka Shaka Tea Express,848 Ala Lilikoi St,4.5,67,Honolulu,Cafe,
791,Cloud Nine Cafe Hawaii,1221 Kapiolani Blvd Suite 111,4.6,40,Honolulu,Cafe,
792,YiFang Fruit Tea Hawaii - Dillingham,602 Dillingham Blvd,4.7,14,Honolulu,Bubble Tea,Inexpensive
793,Teapresso Bar - Salt Lake,4369 Lawehana Street #B2-1,4.4,17,Honolulu,Bubble Tea,Inexpensive
794,HiTEA Cafe,1450 Ala Moana Blvd #2271,3.8,33,Honolulu,Chinese,
795,Teapresso Bar Aloha Tower,1 Aloha Tower Dr #1312,5.0,8,Honolulu,Bubble Tea,Inexpensive
796,Chaya,4211 Waialae Ave,5.0,3,Honolulu,Bubble Tea,
797,Bee's Dessert House,1151 Mapunapuna St # 10,4.4,19,Honolulu,Dessert shop,
798,Aloha Bowls and Tea,2005 Kālia Rd,4.3,6,Honolulu,Tea house,
799,Aloha ‘Aina,458 Keawe St,4.6,5,Honolulu,Cafe,
800,Hawaii Boba Wholesale Club,330 Sand Island Access Rd Suite 400,5.0,4,Honolulu,Wholesaler,
801,Marketplace Cafe,725 Kapiolani Blvd,4.8,4,Honolulu,Cafe,
802,Green Tea Hawaii - Ala Moana,1450 Ala Moana Blvd,3.3,3,Honolulu,Tea house,
803,Rabbit Rabbit Tea Aiea,99-115 Aiea Heights Dr Suite 250,4.6,50,Honolulu,Bubble Tea,Inexpensive
804,Tea Home,45-934 Kamehameha Hey c2,4.4,169,Honolulu,Bubble Tea,Inexpensive
805,Insomnia,669 Auahi St,4.7,69,Honolulu,Cafe,
806,Miss Chen's Cake,808 Sheridan St STE 112,4.2,31,Honolulu,Cafe,
807,Malu Honolulu,661 Keeaumoku Street #106-E,4.6,22,Honolulu,Cafe,
808,LUPICIA Hawaii,1450 Ala Moana Blvd # 1100,4.4,232,Honolulu,Tea store,
809,Summer Frappe,82 N Pauahi St,4.7,23,Honolulu,Juice,
810,The Coffee Bean & Tea Leaf Manoa,2754 Woodlawn Dr,4.3,147,Honolulu,Coffee shop,Inexpensive
811,Popoki + Tea Cat Cafe,3424 Waialae Ave,4.8,70,Honolulu,Pet adoption service,
812,Honey Boba,888 Kapahulu Ave,4.3,43,Honolulu,Cafe,
